Wavelength,I,Incrament,,Ambient air
409.5123,0.40432,,,
409.51235,0.4043,,,
409.5124,0.40417,,,
409.51245,0.40423,,,
409.5125,0.40445,,,
409.51255,0.40427,,,
409.5126,0.4042,,,
409.51265,0.40413,,,
409.5127,0.40413,,,
409.51275,0.40425,,,
409.5128,0.40423,,,
409.51285,0.40402,,,
409.5129,0.40454,,,
409.51295,0.40432,,,
409.513,0.4043,,,
409.51305,0.4041,,,
409.5131,0.40406,,,
409.51315,0.40448,,,
409.5132,0.40436,,,
409.51325,0.40434,,,
409.5133,0.40425,,,
409.51335,0.40422,,,
409.5134,0.40414,,,
409.51345,0.40437,,,
409.5135,0.40415,,,
409.51355,0.4045,,,
409.5136,0.40416,,,
409.51365,0.40422,,,
409.5137,0.40434,,,
409.51375,0.40395,,,
409.5138,0.40437,,,
409.51385,0.40428,,,
409.5139,0.4043,,,
409.51395,0.4043,,,
409.514,0.40421,,,
409.51405,0.40434,,,
409.5141,0.40426,,,
409.51415,0.40453,,,
409.5142,0.40415,,,
409.51425,0.40419,,,
409.5143,0.40431,,,
409.51435,0.40406,,,
409.5144,0.40419,,,
409.51445,0.40419,,,
409.5145,0.404,,,
409.51455,0.40404,,,
409.5146,0.4042,,,
409.51465,0.40414,,,
409.5147,0.40423,,,
409.51475,0.40404,,,
409.5148,0.40436,,,
409.51485,0.40423,,,
409.5149,0.4041,,,
409.51495,0.40413,,,
409.515,0.404,,,
409.51505,0.40405,,,
409.5151,0.4041,,,
409.51515,0.40428,,,
409.5152,0.40444,,,
409.51525,0.40445,,,
409.5153,0.40444,,,
409.51535,0.40399,,,
409.5154,0.40452,,,
409.51545,0.40444,,,
409.5155,0.4043,,,
409.51555,0.40425,,,
409.5156,0.40425,,,
409.51565,0.40409,,,
409.5157,0.40427,,,
409.51575,0.404,,,
409.5158,0.40439,,,
409.51585,0.40421,,,
409.5159,0.40426,,,
409.51595,0.40448,,,
409.516,0.4042,,,
409.51605,0.40403,,,
409.5161,0.4042,,,
409.51615,0.40422,,,
409.5162,0.40402,,,
409.51625,0.40428,,,
409.5163,0.40419,,,
409.51635,0.40427,,,
409.5164,0.40432,,,
409.51645,0.4042,,,
409.5165,0.404,,,
409.51655,0.40444,,,
