Wavelength,I,Incrament,,Ambient air
433.67,0.40417,0.00005,,
433.67005,0.40386,,,
433.6701,0.40394,,,
433.67015,0.404,,,
433.6702,0.40404,,,
433.67025,0.40404,,,
433.6703,0.4039,,,
433.67035,0.40402,,,
433.6704,0.40402,,,
433.67045,0.40429,,,
433.6705,0.40394,,,
433.67055,0.404,,,
433.6706,0.40392,,,
433.67065,0.40406,,,
433.6707,0.40386,,,
433.67075,0.40404,,,
433.6708,0.40398,,,
433.67085,0.40417,,,
433.6709,0.4041,,,
433.67095,0.40421,,,
433.671,0.40406,,,
433.67105,0.40378,,,
433.6711,0.40396,,,
433.67115,0.4041,,,
433.6712,0.404,,,
433.67125,0.40415,,,
433.6713,0.40388,,,
433.67135,0.40396,,,
433.6714,0.40394,,,
433.67145,0.40419,,,
433.6715,0.40413,,,
433.67155,0.40394,,,
433.6716,0.40394,,,
433.67165,0.404,,,
433.6717,0.40406,,,
433.67175,0.404,,,
433.6718,0.404,,,
433.67185,0.40417,,,
433.6719,0.40417,,,
433.67195,0.40435,,,
433.672,0.40398,,,
433.67205,0.40421,,,
433.6721,0.40402,,,
433.67215,0.40394,,,
433.6722,0.4041,,,
433.67225,0.40413,,,
433.6723,0.40402,,,
433.67235,0.40402,,,
433.6724,0.40402,,,
433.67245,0.40402,,,
433.6725,0.4041,,,
433.67255,0.4039,,,
433.6726,0.40413,,,
433.67265,0.40386,,,
433.6727,0.40435,,,
433.67275,0.40425,,,
433.6728,0.40398,,,
433.67285,0.40413,,,
433.6729,0.40384,,,
433.67295,0.40388,,,
433.673,0.40398,,,
433.67305,0.40404,,,
433.6731,0.40394,,,
433.67315,0.4041,,,
433.6732,0.40386,,,
433.67325,0.40392,,,
433.6733,0.40388,,,
433.67335,0.40427,,,
433.6734,0.40402,,,
433.67345,0.40406,,,
433.6735,0.40408,,,
433.67355,0.40404,,,
433.6736,0.404,,,
433.67365,0.40404,,,
433.6737,0.40388,,,
433.67375,0.40394,,,
433.6738,0.40396,,,
433.67385,0.40386,,,
433.6739,0.40413,,,
433.67395,0.404,,,
433.674,0.40398,,,
433.67405,0.40382,,,
433.6741,0.40392,,,
433.67415,0.40419,,,
433.6742,0.40392,,,
433.67425,0.404,,,
433.6743,0.404,,,
433.67435,0.4041,,,
433.6744,0.404,,,
433.67445,0.40402,,,
433.6745,0.40392,,,
433.67455,0.404,,,
433.6746,0.40394,,,
433.67465,0.4041,,,
433.6747,0.40413,,,
433.67475,0.40413,,,
433.6748,0.40388,,,
433.67485,0.40415,,,
433.6749,0.40413,,,
433.67495,0.40384,,,
433.675,0.40388,,,
433.67505,0.4041,,,
433.6751,0.40406,,,
433.67515,0.40404,,,
433.6752,0.40413,,,
433.67525,0.40392,,,
433.6753,0.4041,,,
433.67535,0.40417,,,
433.6754,0.40404,,,
433.67545,0.40392,,,
433.6755,0.404,,,
433.67555,0.4039,,,
433.6756,0.404,,,
433.67565,0.40386,,,
433.6757,0.40404,,,
433.67575,0.40398,,,
433.6758,0.40419,,,
433.67585,0.40404,,,
433.6759,0.40404,,,
433.67595,0.40398,,,
433.676,0.4039,,,
433.67605,0.40396,,,
433.6761,0.40421,,,
433.67615,0.40417,,,
433.6762,0.40394,,,
433.67625,0.40386,,,
433.6763,0.4039,,,
433.67635,0.40402,,,
433.6764,0.4041,,,
433.67645,0.404,,,
433.6765,0.4041,,,
433.67655,0.4039,,,
433.6766,0.4041,,,
433.67665,0.40382,,,
433.6767,0.40386,,,
433.67675,0.40419,,,
433.6768,0.4039,,,
433.67685,0.40402,,,
433.6769,0.404,,,
433.67695,0.40415,,,
433.677,0.40392,,,
433.67705,0.40408,,,
433.6771,0.40394,,,
433.67715,0.40392,,,
433.6772,0.40378,,,
433.67725,0.40421,,,
433.6773,0.40408,,,
433.67735,0.40388,,,
433.6774,0.40402,,,
433.67745,0.40394,,,
433.6775,0.404,,,
433.67755,0.40396,,,
433.6776,0.40398,,,
433.67765,0.40413,,,
433.6777,0.40396,,,
433.67775,0.40433,,,
433.6778,0.40402,,,
433.67785,0.40413,,,
433.6779,0.404,,,
433.67795,0.40384,,,
433.678,0.404,,,
433.67805,0.40394,,,
433.6781,0.40398,,,
433.67815,0.40396,,,
433.6782,0.4039,,,
433.67825,0.40404,,,
433.6783,0.40415,,,
433.67835,0.40415,,,
433.6784,0.40398,,,
433.67845,0.40386,,,
433.6785,0.40415,,,
433.67855,0.40388,,,
433.6786,0.40384,,,
433.67865,0.40394,,,
433.6787,0.40413,,,
433.67875,0.404,,,
433.6788,0.40384,,,
433.67885,0.40396,,,
433.6789,0.40419,,,
433.67895,0.40425,,,
433.679,0.40392,,,
433.67905,0.4041,,,
433.6791,0.40402,,,
433.67915,0.40415,,,
433.6792,0.40427,,,
433.67925,0.40396,,,
433.6793,0.40408,,,
433.67935,0.40417,,,
433.6794,0.40394,,,
433.67945,0.40406,,,
433.6795,0.4041,,,
433.67955,0.40396,,,
433.6796,0.4039,,,
433.67965,0.40415,,,
433.6797,0.40398,,,
433.67975,0.40404,,,
433.6798,0.4041,,,
433.67985,0.40408,,,
433.6799,0.40402,,,
433.67995,0.40392,,,
433.68,0.40396,,,
433.68005,0.40392,,,
433.6801,0.40419,,,
433.68015,0.40406,,,
433.6802,0.40406,,,
433.68025,0.40396,,,
433.6803,0.4041,,,
433.68035,0.40402,,,
433.6804,0.40396,,,
433.68045,0.40396,,,
433.6805,0.40408,,,
433.68055,0.40406,,,
433.6806,0.40406,,,
433.68065,0.40396,,,
433.6807,0.40404,,,
433.68075,0.40427,,,
433.6808,0.40396,,,
433.68085,0.40402,,,
433.6809,0.4039,,,
433.68095,0.40406,,,
433.681,0.40402,,,
433.68105,0.40396,,,
433.6811,0.40417,,,
433.68115,0.40419,,,
433.6812,0.40404,,,
433.68125,0.40406,,,
433.6813,0.40406,,,
433.68135,0.40417,,,
433.6814,0.40406,,,
433.68145,0.404,,,
433.6815,0.40423,,,
433.68155,0.40404,,,
433.6816,0.40415,,,
433.68165,0.40419,,,
433.6817,0.40394,,,
433.68175,0.40408,,,
433.6818,0.4041,,,
433.68185,0.40408,,,
433.6819,0.40394,,,
433.68195,0.40392,,,
433.682,0.40406,,,
433.68205,0.40408,,,
433.6821,0.40396,,,
433.68215,0.40398,,,
433.6822,0.40429,,,
433.68225,0.40423,,,
433.6823,0.40406,,,
433.68235,0.40415,,,
433.6824,0.40421,,,
433.68245,0.4041,,,
433.6825,0.40408,,,
433.68255,0.40415,,,
433.6826,0.40384,,,
433.68265,0.40406,,,
433.6827,0.40382,,,
433.68275,0.40406,,,
