Wavelength,I
485.686,0.40432
485.68605,0.40422
485.6861,0.40426
485.68615,0.40423
485.6862,0.40426
485.68625,0.40419
485.6863,0.40438
485.68635,0.40422
485.6864,0.40411
485.68645,0.40421
485.6865,0.40428
485.68655,0.40425
485.6866,0.40425
485.68665,0.40426
485.6867,0.40428
485.68675,0.4042
485.6868,0.40423
485.68685,0.40423
485.6869,0.40415
485.68695,0.40423
485.687,0.40421
485.68705,0.40432
485.6871,0.40426
485.68715,0.40413
485.6872,0.40427
485.68725,0.40421
485.6873,0.40416
485.68735,0.40428
485.6874,0.4042
485.68745,0.40428
485.6875,0.40427
485.68755,0.40425
485.6876,0.40422
485.68765,0.40434
485.6877,0.40434
485.68775,0.40431
485.6878,0.40422
485.68785,0.40432
485.6879,0.40431
485.68795,0.40415
485.688,0.40431
485.68805,0.40433
485.6881,0.40422
485.68815,0.40419
485.6882,0.40417
485.68825,0.40416
485.6883,0.40409
485.68835,0.40427
485.6884,0.40422
485.68845,0.40423
485.6885,0.40421
485.68855,0.40443
485.6886,0.40411
485.68865,0.40437
485.6887,0.40425
485.68875,0.4042
485.6888,0.40434
485.68885,0.40421
485.6889,0.40417
485.68895,0.40416
485.689,0.4042
485.68905,0.40432
485.6891,0.40427
485.68915,0.4042
485.6892,0.4042
485.68925,0.40439
485.6893,0.40442
485.68935,0.4043
485.6894,0.40427
485.68945,0.40437
485.6895,0.40443
485.68955,0.40416
485.6896,0.40425
485.68965,0.40417
485.6897,0.40421
485.68975,0.4043
485.6898,0.40423
485.68985,0.40411
485.6899,0.4042
485.68995,0.4043
485.69,0.40417
485.69005,0.40423
485.6901,0.40425
485.69015,0.4043
485.6902,0.40421
485.69025,0.40417
485.6903,0.40419
485.69035,0.40426
485.6904,0.4043
485.69045,0.40416
485.6905,0.40433
485.69055,0.40423
485.6906,0.40421
485.69065,0.40445
485.6907,0.40419
485.69075,0.40419
485.6908,0.40426
485.69085,0.40423
485.6909,0.40426
485.69095,0.40434
485.691,0.40428
485.69105,0.4042
485.6911,0.40426
485.69115,0.4043
485.6912,0.40419
485.69125,0.40417
485.6913,0.40419
485.69135,0.40433
485.6914,0.4041
485.69145,0.40408
485.6915,0.4042
485.69155,0.40433
485.6916,0.4041
485.69165,0.4042
485.6917,0.40411
485.69175,0.40427
485.6918,0.40426
485.69185,0.40425
485.6919,0.40428
485.69195,0.40426
485.692,0.40427
485.69205,0.40417
485.6921,0.40439
485.69215,0.40425
485.6922,0.40423
485.69225,0.4042
485.6923,0.40421
485.69235,0.40423
485.6924,0.40421
485.69245,0.40434
485.6925,0.40406
485.69255,0.4042
485.6926,0.40425
485.69265,0.40417
485.6927,0.4043
485.69275,0.4043
485.6928,0.4043
485.69285,0.40427
485.6929,0.40419
485.69295,0.40413
485.693,0.40423
485.69305,0.40411
485.6931,0.40431
485.69315,0.40431
485.6932,0.4043
485.69325,0.40417
485.6933,0.4043
485.69335,0.40422
485.6934,0.40427
485.69345,0.40411
485.6935,0.40413
485.69355,0.40415
485.6936,0.40413
485.69365,0.40422
485.6937,0.40419
485.69375,0.40426
485.6938,0.40438
485.69385,0.40427
485.6939,0.4042
485.69395,0.40427
485.694,0.40422
485.69405,0.40423
485.6941,0.4043
485.69415,0.4043
485.6942,0.4043
485.69425,0.40426
485.6943,0.40414
485.69435,0.40415
485.6944,0.40415
485.69445,0.40442
485.6945,0.40426
485.69455,0.40426
485.6946,0.40423
485.69465,0.40413
485.6947,0.40432
485.69475,0.4043
485.6948,0.40433
485.69485,0.4043
485.6949,0.40414
485.69495,0.40434
485.695,0.40439
485.69505,0.40421
485.6951,0.4042
485.69515,0.40428
485.6952,0.40423
485.69525,0.40422
485.6953,0.40427
485.69535,0.40423
485.6954,0.4042
485.69545,0.40436
485.6955,0.40422
485.69555,0.40431
485.6956,0.40421
485.69565,0.40434
485.6957,0.4043
485.69575,0.40416
485.6958,0.40409
485.69585,0.40421
485.6959,0.40422
485.69595,0.40425
485.696,0.40432
485.69605,0.40427
485.6961,0.40425
485.69615,0.40428
485.6962,0.4042
485.69625,0.40425
485.6963,0.40421
485.69635,0.40426
485.6964,0.40434
485.69645,0.40431
485.6965,0.40426
485.69655,0.40442
485.6966,0.40425
485.69665,0.40416
485.6967,0.40421
485.69675,0.40417
485.6968,0.40426
485.69685,0.40425
485.6969,0.40423
485.69695,0.40422
485.697,0.40414
485.69705,0.40431
485.6971,0.40427
485.69715,0.40431
485.6972,0.40421
485.69725,0.40431
485.6973,0.40432
485.69735,0.40431
485.6974,0.4043
485.69745,0.40432
485.6975,0.40425
485.69755,0.40416
485.6976,0.40438
485.69765,0.40422
485.6977,0.40423
485.69775,0.40422
485.6978,0.40423
485.69785,0.40414
485.6979,0.40421
485.69795,0.40434
485.698,0.40431
485.69805,0.40427
485.6981,0.40413
485.69815,0.40427
485.6982,0.40444
485.69825,0.40425
485.6983,0.40434
485.69835,0.40427
485.6984,0.40434
485.69845,0.40436
485.6985,0.40427
485.69855,0.40421
485.6986,0.40423
485.69865,0.40416
485.6987,0.40428
485.69875,0.40422
485.6988,0.40415
485.69885,0.4043
485.6989,0.40428
485.69895,0.40426
485.699,0.40422
485.69905,0.40416
485.6991,0.40426
485.69915,0.40422
485.6992,0.40428
485.69925,0.40437
485.6993,0.40426
485.69935,0.40433
485.6994,0.40421
485.69945,0.40425
485.6995,0.4042
485.69955,0.4043
485.6996,0.40433
485.69965,0.40428
485.6997,0.40423
485.69975,0.40411
485.6998,0.40417
485.69985,0.40417
485.6999,0.40428
485.69995,0.40426
485.7,0.40415
485.70005,0.40428
485.7001,0.40439
485.70015,0.40423
485.7002,0.40425
485.70025,0.40415
485.7003,0.40452
485.70035,0.40417
485.7004,0.40415
485.70045,0.40417
485.7005,0.40426
485.70055,0.40434
485.7006,0.40421
485.70065,0.40421
485.7007,0.40434
485.70075,0.40422
485.7008,0.40434
485.70085,0.40421
485.7009,0.40425
485.70095,0.4042
485.701,0.40423
485.70105,0.40421
485.7011,0.40422
485.70115,0.4043
485.7012,0.4043
485.70125,0.40416
485.7013,0.40414
485.70135,0.40425
485.7014,0.4042
485.70145,0.40411
485.7015,0.40423
485.70155,0.40425
485.7016,0.40425
485.70165,0.40434
485.7017,0.40421
485.70175,0.40416
485.7018,0.40432
485.70185,0.40428
485.7019,0.40436
485.70195,0.4043
485.702,0.40416
485.70205,0.40438
485.7021,0.40426
485.70215,0.40426
485.7022,0.40414
485.70225,0.40437
485.7023,0.40444
485.70235,0.40441
485.7024,0.40432
485.70245,0.40419
485.7025,0.40425
485.70255,0.40423
485.7026,0.40421
485.70265,0.40437
485.7027,0.40423
485.70275,0.40433
485.7028,0.4042
485.70285,0.40425
485.7029,0.40423
485.70295,0.40416
485.703,0.40416
485.70305,0.4042
485.7031,0.40436
485.70315,0.40425
485.7032,0.40413
485.70325,0.40427
485.7033,0.40434
485.70335,0.40425
485.7034,0.40428
485.70345,0.40415
485.7035,0.40421
485.70355,0.40436
485.7036,0.40419
485.70365,0.40428
485.7037,0.40427
485.70375,0.40439
485.7038,0.40419
485.70385,0.40437
485.7039,0.40421
485.70395,0.40436
485.704,0.40413
485.70405,0.40433
485.7041,0.40426
485.70415,0.40443
485.7042,0.40436
485.70425,0.40416
485.7043,0.40417
485.70435,0.40436
485.7044,0.40425
485.70445,0.40426
485.7045,0.40419
485.70455,0.40426
485.7046,0.40431
485.70465,0.40419
485.7047,0.40415
485.70475,0.4043
485.7048,0.40428
485.70485,0.40439
485.7049,0.4043
485.70495,0.40422
485.705,0.4042
485.70505,0.40439
485.7051,0.40433
485.70515,0.4043
485.7052,0.40439
485.70525,0.40422
485.7053,0.40413
485.70535,0.40437
485.7054,0.40436
485.70545,0.40405
485.7055,0.40426
485.70555,0.40419
485.7056,0.4042
485.70565,0.40426
485.7057,0.4042
485.70575,0.4043
485.7058,0.4042
485.70585,0.40423
485.7059,0.4042
485.70595,0.40427
485.706,0.40425
485.70605,0.40436
485.7061,0.40436
485.70615,0.40421
485.7062,0.40427
485.70625,0.40433
485.7063,0.40427
485.70635,0.40413
485.7064,0.40428
485.70645,0.40428
485.7065,0.40423
485.70655,0.40436
485.7066,0.40431
485.70665,0.40404
485.7067,0.40415
485.70675,0.40433
485.7068,0.40433
485.70685,0.40431
485.7069,0.40417
485.70695,0.40423
485.707,0.40426
485.70705,0.40409
485.7071,0.40428
485.70715,0.40416
485.7072,0.40434
485.70725,0.40419
485.7073,0.40419
485.70735,0.40422
485.7074,0.40423
485.70745,0.40413
485.7075,0.40419
485.70755,0.40427
485.7076,0.40422
485.70765,0.40426
485.7077,0.4042
485.70775,0.40425
485.7078,0.40433
485.70785,0.40416
485.7079,0.40431
485.70795,0.40426
485.708,0.40416
485.70805,0.40431
485.7081,0.40421
485.70815,0.40434
485.7082,0.40436
485.70825,0.40413
485.7083,0.40408
485.70835,0.4043
485.7084,0.40425
485.70845,0.40426
485.7085,0.40421
485.70855,0.40414
485.7086,0.40431
485.70865,0.40416
485.7087,0.4043
485.70875,0.40417
485.7088,0.40419
485.70885,0.40417
485.7089,0.40421
485.70895,0.40417
485.709,0.40417
485.70905,0.40415
485.7091,0.4043
485.70915,0.40421
485.7092,0.40421
485.70925,0.40423
485.7093,0.40419
485.70935,0.40423
485.7094,0.40431
485.70945,0.40425
485.7095,0.4042
485.70955,0.40433
485.7096,0.40419
485.70965,0.40414
485.7097,0.40433
485.70975,0.40427
485.7098,0.40426
485.70985,0.40425
485.7099,0.40422
485.70995,0.40428
485.71,0.40422
485.71005,0.40431
485.7101,0.40431
485.71015,0.40423
485.7102,0.40421
485.71025,0.4043
485.7103,0.40428
485.71035,0.40433
485.7104,0.40416
485.71045,0.40417
485.7105,0.40422
485.71055,0.40434
485.7106,0.4043
485.71065,0.40428
485.7107,0.40426
485.71075,0.40425
485.7108,0.40426
485.71085,0.40431
485.7109,0.40416
485.71095,0.40425
485.711,0.40421
485.71105,0.40415
485.7111,0.40422
485.71115,0.40432
485.7112,0.40425
485.71125,0.40428
485.7113,0.4042
485.71135,0.40422
485.7114,0.40428
485.71145,0.40423
485.7115,0.40421
485.71155,0.40425
485.7116,0.40422
485.71165,0.40423
485.7117,0.40425
485.71175,0.4042
485.7118,0.40423
485.71185,0.40416
485.7119,0.40423
485.71195,0.40419
485.712,0.40427
485.71205,0.40409
485.7121,0.4042
485.71215,0.40431
485.7122,0.40419
485.71225,0.40416
485.7123,0.40426
485.71235,0.40434
485.7124,0.40427
485.71245,0.40413
485.7125,0.40427
485.71255,0.40438
485.7126,0.40411
485.71265,0.40419
485.7127,0.40417
485.71275,0.40423
485.7128,0.40409
485.71285,0.40423
485.7129,0.40423
485.71295,0.40406
485.713,0.40417
485.71305,0.40426
485.7131,0.40425
485.71315,0.40417
485.7132,0.40415
485.71325,0.40443
485.7133,0.40402
485.71335,0.40426
485.7134,0.40423
485.71345,0.40428
485.7135,0.40422
485.71355,0.40434
485.7136,0.40432
485.71365,0.4042
485.7137,0.40426
485.71375,0.40433
485.7138,0.4043
485.71385,0.40416
485.7139,0.40422
485.71395,0.40434
485.714,0.40425
485.71405,0.40411
485.7141,0.40413
485.71415,0.40425
485.7142,0.40419
485.71425,0.40421
485.7143,0.40416
485.71435,0.40423
485.7144,0.40419
485.71445,0.40438
485.7145,0.40433
485.71455,0.40423
485.7146,0.40417
