Wavelength,I,step
545.48955,0.55278,
545.4896,0.5623,
545.48965,0.55583,
545.4897,0.53576,
545.48975,0.55364,
545.4898,0.56425,
545.48985,0.54382,
545.4899,0.53704,
545.48995,0.53241,
545.49,0.5565,
545.49005,0.54924,
545.4901,0.5501,
545.49015,0.54522,
545.4902,0.5515,
545.49025,0.53936,
545.4903,0.55614,
545.49035,0.55156,
545.4904,0.54869,
545.49045,0.56297,
545.4905,0.55882,
545.49055,0.53527,
545.4906,0.54144,
545.49065,0.55205,
545.4907,0.53503,
545.49075,0.54449,
545.4908,0.54955,
545.49085,0.54912,
545.4909,0.54754,
545.49095,0.55821,
545.491,0.53064,
545.49105,0.5296,
545.4911,0.55065,
545.49115,0.54083,
545.4912,0.52118,
545.49125,0.53363,
545.4913,0.5232,
545.49135,0.51856,
545.4914,0.52777,
545.49145,0.52735,
545.4915,0.51533,
545.49155,0.51813,
545.4916,0.53759,
545.49165,0.52246,
545.4917,0.531,
545.49175,0.52661,
545.4918,0.50319,
545.49185,0.51819,
545.4919,0.54089,
545.49195,0.526,
545.492,0.52015,
545.49205,0.53247,
545.4921,0.511,
545.49215,0.51496,
545.4922,0.51167,
545.49225,0.5329,
545.4923,0.50868,
545.49235,0.50807,
545.4924,0.54003,
545.49245,0.52954,
545.4925,0.51661,
545.49255,0.51887,
545.4926,0.5002,
545.49265,0.50136,
545.4927,0.49819,
545.49275,0.52472,
545.4928,0.52741,
545.49285,0.52204,
545.4929,0.51106,
545.49295,0.52179,
545.493,0.50898,
545.49305,0.49331,
545.4931,0.51313,
545.49315,0.51374,
545.4932,0.50752,
545.49325,0.51484,
545.4933,0.4894,
545.49335,0.49648,
545.4934,0.51752,
545.49345,0.50575,
545.4935,0.50569,
545.49355,0.5077,
545.4936,0.48422,
545.49365,0.49806,
545.4937,0.51844,
545.49375,0.5052,
545.4938,0.50966,
545.49385,0.50307,
545.4939,0.5038,
545.49395,0.5102,
545.494,0.49355,
545.49405,0.48593,
545.4941,0.498,
545.49415,0.4988,
545.4942,0.4833,
545.49425,0.48721,
545.4943,0.4883,
545.49435,0.48879,
545.4944,0.47312,
545.49445,0.49764,
545.4945,0.48294,
545.49455,0.48983,
545.4946,0.48471,
545.49465,0.48251,
545.4947,0.47818,
545.49475,0.48983,
545.4948,0.48379,
545.49485,0.47074,
545.4949,0.49148,
545.49495,0.47214,
545.495,0.48373,
545.49505,0.48281,
545.4951,0.483,
545.49515,0.46128,
545.4952,0.47861,
545.49525,0.47946,
545.4953,0.47507,
545.49535,0.4722,
545.4954,0.46336,
545.49545,0.45677,
545.4955,0.45854,
545.49555,0.46,
545.4956,0.46372,
545.49565,0.45549,
545.4957,0.46092,
545.49575,0.46372,
545.4958,0.45713,
545.49585,0.45823,
545.4959,0.46671,
545.49595,0.45634,
545.496,0.46775,
545.49605,0.46079,
545.4961,0.46348,
545.49615,0.45543,
545.4962,0.44945,
545.49625,0.455,
