Wavelength,I,Incrament,,Ambient Air
655.86225,0.40345,,,
655.8623,0.40345,,,
655.86235,0.40345,,,
655.8624,0.40351,,,
655.86245,0.40358,,,
655.8625,0.4037,,,
655.86255,0.40351,,,
655.8626,0.40358,,,
655.86265,0.40364,,,
655.8627,0.40333,,,
655.86275,0.40333,,,
655.8628,0.40364,,,
655.86285,0.4037,,,
655.8629,0.40345,,,
655.86295,0.40364,,,
655.863,0.40351,,,
655.86305,0.4037,,,
655.8631,0.40382,,,
655.86315,0.40364,,,
655.8632,0.40358,,,
655.86325,0.40358,,,
655.8633,0.40351,,,
655.86335,0.40351,,,
655.8634,0.40345,,,
655.86345,0.40358,,,
655.8635,0.40351,,,
655.86355,0.40351,,,
655.8636,0.40394,,,
655.86365,0.40345,,,
655.8637,0.40351,,,
655.86375,0.4037,,,
655.8638,0.4037,,,
655.86385,0.40351,,,
655.8639,0.4037,,,
655.86395,0.4037,,,
655.864,0.40351,,,
655.86405,0.40345,,,
655.8641,0.40345,,,
655.86415,0.4037,,,
655.8642,0.40358,,,
655.86425,0.40364,,,
655.8643,0.40394,,,
655.86435,0.4037,,,
655.8644,0.404,,,
655.86445,0.40376,,,
655.8645,0.40394,,,
655.86455,0.40394,,,
655.8646,0.40376,,,
655.86465,0.40358,,,
655.8647,0.40351,,,
655.86475,0.40388,,,
655.8648,0.40406,,,
655.86485,0.4037,,,
655.8649,0.40339,,,
655.86495,0.40364,,,
655.865,0.40376,,,
655.86505,0.40376,,,
655.8651,0.4037,,,
655.86515,0.4037,,,
655.8652,0.40351,,,
655.86525,0.40358,,,
655.8653,0.40364,,,
655.86535,0.40406,,,
655.8654,0.40358,,,
655.86545,0.40406,,,
655.8655,0.40388,,,
655.86555,0.40339,,,
655.8656,0.40339,,,
655.86565,0.40345,,,
655.8657,0.4037,,,
655.86575,0.40351,,,
655.8658,0.404,,,
655.86585,0.40339,,,
655.8659,0.40345,,,
655.86595,0.40327,,,
655.866,0.4037,,,
655.86605,0.40382,,,
655.8661,0.40351,,,
655.86615,0.4037,,,
655.8662,0.40382,,,
655.86625,0.40351,,,
655.8663,0.40364,,,
655.86635,0.40339,,,
655.8664,0.4037,,,
655.86645,0.40364,,,
655.8665,0.40358,,,
655.86655,0.40376,,,
655.8666,0.40358,,,
655.86665,0.4037,,,
655.8667,0.40376,,,
655.86675,0.40364,,,
655.8668,0.40358,,,
655.86685,0.40364,,,
655.8669,0.40376,,,
655.86695,0.4037,,,
655.867,0.40364,,,
655.86705,0.40358,,,
655.8671,0.40339,,,
655.86715,0.4037,,,
655.8672,0.40345,,,
655.86725,0.4037,,,
655.8673,0.40382,,,
655.86735,0.40358,,,
655.8674,0.40364,,,
655.86745,0.40388,,,
655.8675,0.40351,,,
655.86755,0.4037,,,
655.8676,0.40394,,,
655.86765,0.40388,,,
655.8677,0.40358,,,
655.86775,0.40412,,,
655.8678,0.40382,,,
655.86785,0.40345,,,
655.8679,0.40364,,,
655.86795,0.40358,,,
655.868,0.40345,,,
655.86805,0.40345,,,
655.8681,0.40364,,,
655.86815,0.40351,,,
655.8682,0.4037,,,
655.86825,0.40358,,,
655.8683,0.40382,,,
655.86835,0.40376,,,
655.8684,0.40358,,,
655.86845,0.40376,,,
655.8685,0.40351,,,
655.86855,0.40339,,,
655.8686,0.40345,,,
655.86865,0.4037,,,
655.8687,0.40376,,,
655.86875,0.40394,,,
655.8688,0.40382,,,
655.86885,0.4037,,,
655.8689,0.40364,,,
655.86895,0.40339,,,
655.869,0.40351,,,
655.86905,0.4037,,,
655.8691,0.40388,,,
655.86915,0.4037,,,
655.8692,0.40358,,,
655.86925,0.40376,,,
655.8693,0.40358,,,
655.86935,0.40364,,,
655.8694,0.40364,,,
655.86945,0.40345,,,
655.8695,0.40358,,,
655.86955,0.40376,,,
655.8696,0.40364,,,
655.86965,0.40382,,,
655.8697,0.40394,,,
655.86975,0.40358,,,
655.8698,0.40364,,,
655.86985,0.40358,,,
655.8699,0.40376,,,
655.86995,0.40364,,,
655.87,0.40376,,,
655.87005,0.40376,,,
655.8701,0.40351,,,
655.87015,0.40339,,,
655.8702,0.40376,,,
655.87025,0.40388,,,
655.8703,0.40388,,,
655.87035,0.40382,,,
655.8704,0.40345,,,
655.87045,0.40364,,,
655.8705,0.40376,,,
655.87055,0.40364,,,
655.8706,0.40364,,,
655.87065,0.40358,,,
655.8707,0.40358,,,
655.87075,0.40364,,,
655.8708,0.40376,,,
655.87085,0.4037,,,
655.8709,0.40321,,,
655.87095,0.40388,,,
655.871,0.40358,,,
655.87105,0.40364,,,
655.8711,0.40345,,,
655.87115,0.40394,,,
655.8712,0.40358,,,
655.87125,0.4037,,,
655.8713,0.40364,,,
655.87135,0.40351,,,
655.8714,0.40406,,,
655.87145,0.40382,,,
655.8715,0.40364,,,
655.87155,0.40358,,,
655.8716,0.40345,,,
655.87165,0.4037,,,
655.8717,0.40358,,,
655.87175,0.40382,,,
655.8718,0.40339,,,
655.87185,0.40339,,,
655.8719,0.40351,,,
655.87195,0.40351,,,
655.872,0.4037,,,
655.87205,0.40364,,,
655.8721,0.40382,,,
655.87215,0.4037,,,
655.8722,0.40339,,,
655.87225,0.40345,,,
655.8723,0.40382,,,
655.87235,0.40358,,,
655.8724,0.40364,,,
655.87245,0.40351,,,
655.8725,0.40376,,,
655.87255,0.40358,,,
655.8726,0.4037,,,
655.87265,0.40388,,,
655.8727,0.40339,,,
655.87275,0.40351,,,
655.8728,0.40394,,,
655.87285,0.40333,,,
655.8729,0.4037,,,
655.87295,0.40382,,,
655.873,0.4037,,,
655.87305,0.40351,,,
655.8731,0.40358,,,
655.87315,0.40364,,,
655.8732,0.40351,,,
655.87325,0.40345,,,
655.8733,0.404,,,
655.87335,0.40376,,,
655.8734,0.40382,,,
655.87345,0.40358,,,
655.8735,0.40351,,,
655.87355,0.40376,,,
655.8736,0.40364,,,
655.87365,0.40351,,,
655.8737,0.40364,,,
655.87375,0.40364,,,
655.8738,0.40345,,,
655.87385,0.4037,,,
